title,slug,"published date",url,symbol,sentiment,compound,positive,neutral,negative,open,high,low,close,volume,change
"NEPSE Closes with a Sharp Loss of 33.08 Points; Finance Sector Leads Decline",nepse-closes-with-a-sharp-loss-of-3308-points-finance-sector-leads-decline-2024-12-31,2024-12-31,https://www.sharesansar.com/newsdetail/nepse-closes-with-a-sharp-loss-of-3308-points-finance-sector-leads-decline-2024-12-31,NEPSE,Negative,-0.3182,0.0,0.827,0.173,2613.7,2613.7,2613.7,2613.7,5674686091.49,-1.26
"NEPSE Witnessed Loss of 0.80% to Close at 2,609.58 Levels; Microfinance Sector Gain Highest",nepse-witnessed-loss-of-080-to-close-at-260958-levels-microfinance-sector-gain-highest-2024-12-29,2024-12-29,https://www.sharesansar.com/newsdetail/nepse-witnessed-loss-of-080-to-close-at-260958-levels-microfinance-sector-gain-highest-2024-12-29,NEPSE,Positive,0.2732,0.192,0.678,0.13,2631.98,2631.98,2631.98,2631.98,5474868764.77,-0.8
"NEPSE to Remain Closed Today, Govt Declares Public Holiday on The Occasion of Tamu Lhosar",nepse-to-remain-closed-today-govt-declares-public-holiday-on-the-occasion-of-tamu-lhosar-2024-12-29,2024-12-29,https://www.sharesansar.com/newsdetail/nepse-to-remain-closed-today-govt-declares-public-holiday-on-the-occasion-of-tamu-lhosar-2024-12-29,NEPSE,Positive,0.4019,0.162,0.838,0.0,2631.98,2631.98,2631.98,2631.98,5474868764.77,-0.8
"NEPSE Concludes The Week With 1.31% Gain and Turnover of Rs 19.47 Arba; Weekly Summary with Sector Comparison, Major Highlights, and More",nepse-concludes-the-week-with-131-gain-and-turnover-of-rs-1947-arba-weekly-summary-with-sector-comparison-major-highlights-and-more-2024-12-27,2024-12-27,https://www.sharesansar.com/newsdetail/nepse-concludes-the-week-with-131-gain-and-turnover-of-rs-1947-arba-weekly-summary-with-sector-comparison-major-highlights-and-more-2024-12-27,NEPSE,Positive,0.5267,0.139,0.861,0.0,2625.44,2625.44,2625.44,2625.44,5329274454.77,0.15
"NEPSE Edges Up to 2,630.71 with Rs. 5.32 Arba Turnover; PRVU Tops Turnover Chart",nepse-edges-up-to-263071-with-rs-532-arba-turnover-prvu-tops-turnover-chart-2024-12-26,2024-12-26,https://www.sharesansar.com/newsdetail/nepse-edges-up-to-263071-with-rs-532-arba-turnover-prvu-tops-turnover-chart-2024-12-26,NEPSE,Positive,0.5106,0.202,0.798,0.0,2625.44,2625.44,2625.44,2625.44,5329274454.77,0.15
"NEPSE Closes Higher, Gaining 14.11 Points; JFL Leads Turnover While Overall Volume Reaches Rs. 5.20 Arba",nepse-closes-higher-gaining-1411-points-jfl-leads-turnover-while-overall-volume-reaches-rs-520-arba-2024-12-24,2024-12-24,https://www.sharesansar.com/newsdetail/nepse-closes-higher-gaining-1411-points-jfl-leads-turnover-while-overall-volume-reaches-rs-520-arba-2024-12-24,NEPSE,Positive,0.4588,0.222,0.778,0.0,2615.67,2615.67,2615.67,2615.67,5202263038.57,0.54
"NRB to Withdraw Additional Rs. 40 Billion to Manage Liquidity",nrb-to-withdraw-additional-rs-40-billion-to-manage-liquidity-2024-12-24,2024-12-24,https://www.sharesansar.com/newsdetail/nrb-to-withdraw-additional-rs-40-billion-to-manage-liquidity-2024-12-24,NEPSE,Neutral,0.0,0.0,1.0,0.0,2615.67,2615.67,2615.67,2615.67,5202263038.57,0.54
"Insights: Is NEPSE Responsive to Market Interest Rate",insights-is-nepse-responsive-to-market-interest-rate-2024-12-24,2024-12-24,https://www.sharesansar.com/newsdetail/insights-is-nepse-responsive-to-market-interest-rate-2024-12-24,NEPSE,Positive,0.6705,0.478,0.522,0.0,2615.67,2615.67,2615.67,2615.67,5202263038.57,0.54
"NEPSE Surges By 28.91 Points with Rs. 4.43 Arba Turnover; Three Scrips Hit Positive Circuit",nepse-surges-by-2891-points-with-rs-443-arba-turnover-three-scrips-hit-positive-circuit-2024-12-23,2024-12-23,https://www.sharesansar.com/newsdetail/nepse-surges-by-2891-points-with-rs-443-arba-turnover-three-scrips-hit-positive-circuit-2024-12-23,NEPSE,Positive,0.5574,0.205,0.795,0.0,2582.29,2582.29,2582.29,2582.29,4430024603.33,1.11
"NEPSE Index Dips 0.52% to Close at 2,583.29 Levels; River Falls Power Led in Turnover",nepse-index-dips-052-to-close-at-258329-levels-river-falls-power-led-in-turnover-2024-12-22,2024-12-22,https://www.sharesansar.com/newsdetail/nepse-index-dips-052-to-close-at-258329-levels-river-falls-power-led-in-turnover-2024-12-22,NEPSE,Neutral,0.0,0.0,1.0,0.0,2587.3,2587.3,2587.3,2587.3,4518385107.17,-0.52
"NEPSE to Remain Closed: Govt Declares Public Holiday on The Occasion of Christmas Day",nepse-to-remain-closed-govt-declares-public-holiday-on-the-occasion-of-christmas-day-2024-12-21,2024-12-21,https://www.sharesansar.com/newsdetail/nepse-to-remain-closed-govt-declares-public-holiday-on-the-occasion-of-christmas-day-2024-12-21,NEPSE,Positive,0.4019,0.172,0.828,0.0,2626.62,2626.62,2626.62,2626.62,4760267483.48,-1.19
"NEPSE Concludes Week With 3.19% Loss and Turnover of Rs 19.30 Arba; Weekly Summary with Sector Comparison, Major Highlights, and More",nepse-concludes-week-with-319-loss-and-turnover-of-rs-1930-arba-weekly-summary-with-sector-comparison-major-highlights-and-more-2024-12-20,2024-12-20,https://www.sharesansar.com/newsdetail/nepse-concludes-week-with-319-loss-and-turnover-of-rs-1930-arba-weekly-summary-with-sector-comparison-major-highlights-and-more-2024-12-20,NEPSE,Negative,-0.3182,0.0,0.897,0.103,2626.62,2626.62,2626.62,2626.62,4760267483.48,-1.19
"NEPSE Index Falls by 31.43 Points to Close at 2,596.82 Levels; Janaki Finance Tops Turnover List",nepse-index-falls-by-3143-points-to-close-at-259682-levels-janaki-finance-tops-turnover-list-2024-12-19,2024-12-19,https://www.sharesansar.com/newsdetail/nepse-index-falls-by-3143-points-to-close-at-259682-levels-janaki-finance-tops-turnover-list-2024-12-19,NEPSE,Positive,0.5106,0.18,0.82,0.0,2626.62,2626.62,2626.62,2626.62,4760267483.48,-1.19
"NEPSE Slips Subtly to Close at 2,628.26 Levels; JFL Leads Turnover Once Again",nepse-slips-subtly-to-close-at-262826-levels-jfl-leads-turnover-once-again-2024-12-18,2024-12-18,https://www.sharesansar.com/newsdetail/nepse-slips-subtly-to-close-at-262826-levels-jfl-leads-turnover-once-again-2024-12-18,NEPSE,Neutral,0.0,0.0,1.0,0.0,2634.49,2634.49,2634.49,2634.49,4270082575.91,-0.21
"NEPSE Settles Today's Session With Minimal 2.95 Points Gain; Finance Sector Leads with 0.87% Gain",nepse-settles-todays-session-with-minimal-295-points-gain-finance-sector-leads-with-087-gain-2024-12-17,2024-12-17,https://www.sharesansar.com/newsdetail/nepse-settles-todays-session-with-minimal-295-points-gain-finance-sector-leads-with-087-gain-2024-12-17,NEPSE,Positive,0.7783,0.343,0.657,0.0,2633.18,2633.18,2633.18,2633.18,4343234740.52,0.11
"NEPSE Index Plunges 51.37 Points; All 13 Sectors Closed Red",nepse-index-plunges-5137-points-all-13-sectors-closed-red-2024-12-16,2024-12-16,https://www.sharesansar.com/newsdetail/nepse-index-plunges-5137-points-all-13-sectors-closed-red-2024-12-16,NEPSE,Neutral,0.0,0.0,1.0,0.0,2684,2684,2684,2684,5935604847.04,-1.91
"NEPSE to Remain Closed: Govt Declares Public Holiday on The Occasion of Udhauli Parva And Yomari Punhi",nepse-to-remain-closed-govt-declares-public-holiday-on-the-occasion-of-udhauli-parva-and-yomari-punhi-2024-12-15,2024-12-15,https://www.sharesansar.com/newsdetail/nepse-to-remain-closed-govt-declares-public-holiday-on-the-occasion-of-udhauli-parva-and-yomari-punhi-2024-12-15,NEPSE,Positive,0.4019,0.144,0.856,0.0,2730.24,2730.24,2730.24,2730.24,6144065744,-1.23
"NEPSE Concludes Week With 1.92% Loss and Turnover of Rs 28.39 Arba; Weekly Summary with Sector Comparison, Major Highlights, and More",nepse-concludes-week-with-192-loss-and-turnover-of-rs-2839-arba-weekly-summary-with-sector-comparison-major-highlights-and-more-2024-12-13,2024-12-13,https://www.sharesansar.com/newsdetail/nepse-concludes-week-with-192-loss-and-turnover-of-rs-2839-arba-weekly-summary-with-sector-comparison-major-highlights-and-more-2024-12-13,NEPSE,Negative,-0.3182,0.0,0.897,0.103,2730.24,2730.24,2730.24,2730.24,6144065744,-1.23
"NEPSE Index Couldn't Sustain Yesterday's Gain; Plummets 1.23% Today While Volume Stood at Rs. 6.14 Arba",nepse-index-couldnt-sustain-yesterdays-gain-plummets-123-today-while-volume-stood-at-rs-614-arba-2024-12-12,2024-12-12,https://www.sharesansar.com/newsdetail/nepse-index-couldnt-sustain-yesterdays-gain-plummets-123-today-while-volume-stood-at-rs-614-arba-2024-12-12,NEPSE,Negative,-0.4168,0.0,0.844,0.156,2730.24,2730.24,2730.24,2730.24,6144065744,-1.23
"NEPSE Climbs 45.88 Points Led by Strong Banking Sector Gains; Overall Volume Stood at Rs. 5.05 Arba",nepse-climbs-4588-points-led-by-strong-banking-sector-gains-overall-volume-stood-at-rs-505-arba-2024-12-11,2024-12-11,https://www.sharesansar.com/newsdetail/nepse-climbs-4588-points-led-by-strong-banking-sector-gains-overall-volume-stood-at-rs-505-arba-2024-12-11,NEPSE,Positive,0.6908,0.275,0.725,0.0,2671.36,2671.36,2671.36,2671.36,5050654450.1,1.71
"NEPSE Ends in Red, Dropping 0.23% with NRN Infrastructure and Development Leading Turnover and Decline",nepse-ends-in-red-dropping-023-with-nrn-infrastructure-and-development-leading-turnover-and-decline-2024-12-10,2024-12-10,https://www.sharesansar.com/newsdetail/nepse-ends-in-red-dropping-023-with-nrn-infrastructure-and-development-leading-turnover-and-decline-2024-12-10,NEPSE,Neutral,0.0,0.0,1.0,0.0,2676.11,2676.11,2676.11,2676.11,4413320290.81,-0.23
"NEPSE Index Plummets By 0.47% To Close at 2,676.15 Levels; NRN Leads Turnover",nepse-index-plummets-by-047-to-close-at-267615-levels-nrn-leads-turnover-2024-12-09,2024-12-09,https://www.sharesansar.com/newsdetail/nepse-index-plummets-by-047-to-close-at-267615-levels-nrn-leads-turnover-2024-12-09,NEPSE,Neutral,0.0,0.0,1.0,0.0,2687.75,2687.75,2687.75,2687.75,5629945822.09,-0.47
"NEPSE Drops to 2,600 Levels After a 45.93-Point Decline, Turnover Falls to Rs. 7.46 Arba",nepse-drops-to-2600-levels-after-a-4593-point-decline-turnover-falls-to-rs-746-arba-2024-12-08,2024-12-08,https://www.sharesansar.com/newsdetail/nepse-drops-to-2600-levels-after-a-4593-point-decline-turnover-falls-to-rs-746-arba-2024-12-08,NEPSE,Neutral,0.0,0.0,1.0,0.0,2735.65,2735.65,2735.65,2735.65,7460304999.55,-1.67
"NEPSE Concludes Week With 0.48% Loss and Turnover of Rs 45.39 Arba; Weekly Summary with Sector Comparison, Major Highlights, and More",nepse-concludes-week-with-048-loss-and-turnover-of-rs-4539-arba-weekly-summary-with-sector-comparison-major-highlights-and-more-2024-12-06,2024-12-06,https://www.sharesansar.com/newsdetail/nepse-concludes-week-with-048-loss-and-turnover-of-rs-4539-arba-weekly-summary-with-sector-comparison-major-highlights-and-more-2024-12-06,NEPSE,Negative,-0.3182,0.0,0.897,0.103,2752.38,2752.38,2752.38,2752.38,8369687402.72,-0.57
"NEPSE Index Dips 0.57% to Close at 2,734.93 Levels; Nepal Finance Led in Turnover",nepse-index-dips-057-to-close-at-273493-levels-nepal-finance-led-in-turnover-2024-12-05,2024-12-05,https://www.sharesansar.com/newsdetail/nepse-index-dips-057-to-close-at-273493-levels-nepal-finance-led-in-turnover-2024-12-05,NEPSE,Neutral,0.0,0.0,1.0,0.0,2752.38,2752.38,2752.38,2752.38,8369687402.72,-0.57
"NEPSE Drops by 24.97 Points to Close at 2,750.87; Overall Volume Reached to Rs. 9.13 Arba",nepse-drops-by-2497-points-to-close-at-275087-overall-volume-reached-to-rs-913-arba-2024-12-04,2024-12-04,https://www.sharesansar.com/newsdetail/nepse-drops-by-2497-points-to-close-at-275087-overall-volume-reached-to-rs-913-arba-2024-12-04,NEPSE,Positive,0.1027,0.085,0.915,0.0,2795.98,2795.98,2795.98,2795.98,9132468906.77,-0.89
"NEPSE Climbs 17.80 Points to Close at 2,775.85 Levels; Five Scrips Soar to Upper Circuit",nepse-climbs-1780-points-to-close-at-277585-levels-five-scrips-soar-to-upper-circuit-2024-12-03,2024-12-03,https://www.sharesansar.com/newsdetail/nepse-climbs-1780-points-to-close-at-277585-levels-five-scrips-soar-to-upper-circuit-2024-12-03,NEPSE,Neutral,0.0,0.0,1.0,0.0,2772.74,2772.74,2772.74,2772.74,8521219299.67,0.64
"NEPSE Surges By 19.97 Points with Rs. 10.54 Arba Turnover; Four Scrips Hit Positive Circuit",nepse-surges-by-1997-points-with-rs-1054-arba-turnover-four-scrips-hit-positive-circuit-2024-12-02,2024-12-02,https://www.sharesansar.com/newsdetail/nepse-surges-by-1997-points-with-rs-1054-arba-turnover-four-scrips-hit-positive-circuit-2024-12-02,NEPSE,Positive,0.5574,0.205,0.795,0.0,2749.27,2749.27,2749.27,2749.27,10541746564.07,0.72
"NEPSE Index Dips 0.36% to Close at 2,738.06 Levels; EDBL Led in Turnover While Five Scrips Hit Positive Circuit",nepse-index-dips-036-to-close-at-273806-levels-edbl-led-in-turnover-while-five-scrips-hit-positive-circuit-2024-12-01,2024-12-01,https://www.sharesansar.com/newsdetail/nepse-index-dips-036-to-close-at-273806-levels-edbl-led-in-turnover-while-five-scrips-hit-positive-circuit-2024-12-01,NEPSE,Positive,0.5574,0.167,0.833,0.0,2762.3,2762.3,2762.3,2762.3,8832225892.82,-0.36
"NEPSE Concludes The Week With 2.52% Gain and Turnover of Rs 39.38 Arba; Weekly Summary with Sector Comparison, Major Highlights, and More",nepse-concludes-the-week-with-252-gain-and-turnover-of-rs-3938-arba-weekly-summary-with-sector-comparison-major-highlights-and-more-2024-11-29,2024-11-29,https://www.sharesansar.com/newsdetail/nepse-concludes-the-week-with-252-gain-and-turnover-of-rs-3938-arba-weekly-summary-with-sector-comparison-major-highlights-and-more-2024-11-29,NEPSE,Positive,0.5267,0.139,0.861,0.0,2757.13,2757.13,2757.13,2757.13,8545525373.13,-0.3
"NEPSE Index Plummets By 0.30% To Close at 2,748.05 Levels; Three Scrips Hit Positive Circuit",nepse-index-plummets-by-030-to-close-at-274805-levels-three-scrips-hit-positive-circuit-2024-11-28,2024-11-28,https://www.sharesansar.com/newsdetail/nepse-index-plummets-by-030-to-close-at-274805-levels-three-scrips-hit-positive-circuit-2024-11-28,NEPSE,Positive,0.5574,0.205,0.795,0.0,2757.13,2757.13,2757.13,2757.13,8545525373.13,-0.3
"NEPSE Gains 39.70 Points, Extends Rally to Third Consecutive Day; Overall Volume Inclined to Rs. 9.31 Arba",nepse-gains-3970-points-extends-rally-to-third-consecutive-day-overall-volume-inclined-to-rs-931-arba-2024-11-27,2024-11-27,https://www.sharesansar.com/newsdetail/nepse-gains-3970-points-extends-rally-to-third-consecutive-day-overall-volume-inclined-to-rs-931-arba-2024-11-27,NEPSE,Positive,0.4404,0.206,0.794,0.0,2721.52,2721.52,2721.52,2721.52,9312934840.36,1.42
"NEPSE Closes Higher, Gaining 33.41 Points; NFS Leads Turnover While Overall Volume Reaches Rs. 7.44 Arba",nepse-closes-higher-gaining-3341-points-nfs-leads-turnover-while-overall-volume-reaches-rs-744-arba-2024-11-26,2024-11-26,https://www.sharesansar.com/newsdetail/nepse-closes-higher-gaining-3341-points-nfs-leads-turnover-while-overall-volume-reaches-rs-744-arba-2024-11-26,NEPSE,Positive,0.4588,0.222,0.778,0.0,2704.58,2704.58,2704.58,2704.58,7449898987.89,1.24
"NEPSE Elevates by 15.83 Points, Closing at 2,683.24 with Turnover of Rs. 6.34 Arba; Finance Sector Gained Highest",nepse-elevates-by-1583-points-closing-at-268324-with-turnover-of-rs-634-arba-finance-sector-gained-highest-2024-11-25,2024-11-25,https://www.sharesansar.com/newsdetail/nepse-elevates-by-1583-points-closing-at-268324-with-turnover-of-rs-634-arba-finance-sector-gained-highest-2024-11-25,NEPSE,Positive,0.3818,0.133,0.867,0.0,2682.29,2682.29,2682.29,2682.29,6345809597.84,0.59
"NEPSE Index Dips 0.48% to Close at 2,667.40 Levels; Janaki Finance Led in Turnover",nepse-index-dips-048-to-close-at-266740-levels-janaki-finance-led-in-turnover-2024-11-24,2024-11-24,https://www.sharesansar.com/newsdetail/nepse-index-dips-048-to-close-at-266740-levels-janaki-finance-led-in-turnover-2024-11-24,NEPSE,Neutral,0.0,0.0,1.0,0.0,2690.52,2690.52,2690.52,2690.52,7728861250.73,-0.48
"NEPSE Concludes Week With 2.49% Loss and Turnover of Rs 37.54 Arba; Weekly Summary with Sector Comparison, Major Highlights, and More",nepse-concludes-week-with-249-loss-and-turnover-of-rs-3754-arba-weekly-summary-with-sector-comparison-major-highlights-and-more-2024-11-22,2024-11-22,https://www.sharesansar.com/newsdetail/nepse-concludes-week-with-249-loss-and-turnover-of-rs-3754-arba-weekly-summary-with-sector-comparison-major-highlights-and-more-2024-11-22,NEPSE,Negative,-0.3182,0.0,0.897,0.103,2711.56,2711.56,2711.56,2711.56,8257643886.83,-1.15
"NEPSE Ends in Red, Dropping 1.15% with Nepal Finance Leading Turnover; Two Scrips Hit Positive Circuit",nepse-ends-in-red-dropping-115-with-nepal-finance-leading-turnover-two-scrips-hit-positive-circuit-2024-11-21,2024-11-21,https://www.sharesansar.com/newsdetail/nepse-ends-in-red-dropping-115-with-nepal-finance-leading-turnover-two-scrips-hit-positive-circuit-2024-11-21,NEPSE,Positive,0.5574,0.194,0.806,0.0,2711.56,2711.56,2711.56,2711.56,8257643886.83,-1.15
"NEPSE Publishes List of Tradable Companies for Stock Dealers",nepse-publishes-list-of-tradable-companies-for-stock-dealers-2024-11-21,2024-11-21,https://www.sharesansar.com/newsdetail/nepse-publishes-list-of-tradable-companies-for-stock-dealers-2024-11-21,NEPSE,Neutral,0.0,0.0,1.0,0.0,2711.56,2711.56,2711.56,2711.56,8257643886.83,-1.15
"NEPSE Surges By 9.09 Points; Development Bank Index Leads Sectoral Growth",nepse-surges-by-909-points-development-bank-index-leads-sectoral-growth-2024-11-20,2024-11-20,https://www.sharesansar.com/newsdetail/nepse-surges-by-909-points-development-bank-index-leads-sectoral-growth-2024-11-20,NEPSE,Positive,0.3818,0.206,0.794,0.0,2705.17,2705.17,2705.17,2705.17,7092879946.39,0.33
"NEPSE Plummets 51.11 Points to Close at  2,702.65 Levels; NGPL Leads Turnover and Decline",nepse-plummets-5111-points-to-close-at-270265-levels-ngpl-leads-turnover-and-decline-2024-11-19,2024-11-19,https://www.sharesansar.com/newsdetail/nepse-plummets-5111-points-to-close-at-270265-levels-ngpl-leads-turnover-and-decline-2024-11-19,NEPSE,Neutral,0.0,0.0,1.0,0.0,2758.42,2758.42,2758.42,2758.42,10468320521.9,-1.85
"Nation Mourns Daman Nath Dhungana: Government Offices and NEPSE Closed Today",nation-mourns-daman-nath-dhungana-government-offices-and-nepse-closed-today-2024-11-18,2024-11-18,https://www.sharesansar.com/newsdetail/nation-mourns-daman-nath-dhungana-government-offices-and-nepse-closed-today-2024-11-18,NEPSE,Negative,-0.5267,0.0,0.746,0.254,2753.43,2753.43,2753.43,2753.43,11726756904.61,0.18
"NEPSE Gains 4.98 Points on First Trading Day of the Week With Overall Volume of Rs. 11.72 Arba; Three Stocks Hit Positive Circuit",nepse-gains-498-points-on-first-trading-day-of-the-week-with-overall-volume-of-rs-1172-arba-three-stocks-hit-positive-circuit-2024-11-17,2024-11-17,https://www.sharesansar.com/newsdetail/nepse-gains-498-points-on-first-trading-day-of-the-week-with-overall-volume-of-rs-1172-arba-three-stocks-hit-positive-circuit-2024-11-17,NEPSE,Positive,0.7184,0.222,0.778,0.0,2753.43,2753.43,2753.43,2753.43,11726756904.61,0.18
"NEPSE Concludes The Week With 2.74% Gain and Turnover of Rs 47.17 Arba; Weekly Summary with Sector Comparison, Major Highlights, and More",nepse-concludes-the-week-with-274-gain-and-turnover-of-rs-4717-arba-weekly-summary-with-sector-comparison-major-highlights-and-more-2024-11-15,2024-11-15,https://www.sharesansar.com/newsdetail/nepse-concludes-the-week-with-274-gain-and-turnover-of-rs-4717-arba-weekly-summary-with-sector-comparison-major-highlights-and-more-2024-11-15,NEPSE,Positive,0.5267,0.139,0.861,0.0,2738.91,2738.91,2738.91,2738.91,10320331436.2,0.51
"Why Some Groups Succeed in Nepal's Stock Market – And Why Most Investors Fail",why-some-groups-succeed-in-nepals-stock-market-and-why-most-investors-fail-2024-11-15,2024-11-15,https://www.sharesansar.com/newsdetail/why-some-groups-succeed-in-nepals-stock-market-and-why-most-investors-fail-2024-11-15,NEPSE,Negative,-0.1477,0.178,0.612,0.21,2738.91,2738.91,2738.91,2738.91,10320331436.2,0.51
"NEPSE Rebounds by 0.51%, Closes at 2,748.78 Points with Rs. 10.32 Arba Turnover; Three Scrips Hit Positive Circuit",nepse-rebounds-by-051-closes-at-274878-points-with-rs-1032-arba-turnover-three-scrips-hit-positive-circuit-2024-11-14,2024-11-14,https://www.sharesansar.com/newsdetail/nepse-rebounds-by-051-closes-at-274878-points-with-rs-1032-arba-turnover-three-scrips-hit-positive-circuit-2024-11-14,NEPSE,Positive,0.5574,0.175,0.825,0.0,2738.91,2738.91,2738.91,2738.91,10320331436.2,0.51
